Mom ID,i1338,i1333,i1338,i1338,i1312,i1321,i1333,i1321,i1312,i1328,i1312,i1312,i1312,i1338,i1345,i1312,i1345,i1323,i1323,i1353,i1353,i1312,i1368,i1311,i1327,i1333,i1343,i1343,i3123,i3129,i1312,i1345,i3144,i3134,i1353,i3129,i3151,i3129,i3153,i3151,i1338,i1338,i3151,i3134,i3129,i3151,i3139,i3151,i3146,i3150,i3151,i3151,i3150,i3144,i3123,i3146,i3123,i3144,i3144,i1312,i3139,i3139,i3146,i3139,i3134,i3153,i3151,i3139,i3153,i3139,i3151,i1350,i3151,i3153,i3153,i1350,i3151,i3151
Birthdate,38553,38557,38553,38553,38579,38553,38557,38553,38555,38561,38555,38555,38561,38567,38555,38561,38555,38555,38555,38553,38563,38565,38571,38565,38565,38565,38565,38565,38631,38637,38585,38593,38613,38625,38585,38655,38607,38637,38639,38663,38605,38609,38627,38629,38631,38607,38611,38673,38675,38685,38637,38673,38685,38619,38587,38667,38607,38613,38619,38591,38611,38615,38667,38611,38645,38655,38615,38621,38639,38641,38615,38591,38627,38629,38637,38591,38627,38627
ID,i1594,i1595,i1596,i1597,i1598,i1599,i1600,i1601,i1602,i1603,i1604,i1605,i1606,i1607,i1608,i1609,i1610,i1611,i1612,i1613,i1614,i1615,i1616,i1617,i1618,i1619,i1620,i1621,i3333,i3334,i3335,i3336,i3337,i3338,i3339,i3340,i3341,i3342,i3343,i3344,i3345,i3346,i3347,i3348,i3349,i3350,i3351,i3352,i3353,i3354,i3355,i3356,i3357,i3358,i3359,i3360,i3361,i3362,i3363,i3364,i3365,i3366,i3367,i3368,i3369,i3370,i3371,i3372,i3373,i3374,i3375,i3376,i3377,i3378,i3379,i3380,i3381,i3382
Vial,mb1,mb1,mb2,mb3,mb3,mb4,mb4,mb5,mb6,mb6,mb7,mb8,mb8,mb8,mb9,mb9,mb10,mb11,mb12,mb13,mb14,mb14,mb14,mb15,mb16,mb17,mb18,mb19,mb1,mb1,mb2,mb2,mb2,mb2,mb3,mb3,mb4,mb5,mb5,mb5,mb6,mb6,mb6,mb6,mb6,mb7,mb7,mb7,mb7,mb7,mb8,mb9,mb9,mb10,mb11,mb11,mb12,mb12,mb12,mb13,mb13,mb13,mb13,mb14,mb14,mb14,mb15,mb15,mb15,mb15,mb16,mb17,mb17,mb17,mb17,mb19,mb19,mb20
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
