Mom ID,i3032,i3017,i1284,i3016,i3004,i3033,i1299,i1284,i1273,i3034,i3001,i3034,i3017,i3018,i3031,i3018,i3017,i3012,i3037,i3010,i3033,i3034,i3018,i1270,i3026,i3010,i3041,i1278,i1284,i3019,i3034,i1270,i1284,i1279,i3043,i3037,i3034,i3037,i3026,i1284,i3040,i3045,i3037,i1284,i3019,i3011,i3046,i3033,i1270,i3034,i3019,i3034,i1270,i1270,i3000,i1279,i3005,i3001,i3047,i3006,i3077,i3009,i3008,i3007,i3102,i3078,i1299,i3010,i3028,i3090,i3035,i3008,i3036,i3003,i3009,i3038,i3025,i1281,i1269,i3039,i3091,i3091,i3091,i3040,i3040,i3013,i3022,i3014,i3042,i3022,i1297,i3044,i3021
Birthdate,38497,38519,38543,38497,38515,38523,38547,38551,38579,38497,38517,38499,38519,38531,38577,38501,38507,38537,38531,38501,38509,38525,38531,38539,34561,38501,38523,38533,38543,38501,38517,38527,38551,38549,38501,38531,38517,38531,38539,38543,38575,38503,38509,38543,38507,38579,38507,38517,38539,38505,38517,38505,38523,38527,38527,38519,38545,38527,38543,38651,38661,38665,38669,38587,38655,38535,38547,38607,38617,38661,38671,38675,38601,38609,38671,38589,38591,38593,38595,38655,38661,38667,38685,38603,38631,38655,38619,38631,38661,38675,38595,38595,38603
ID,i1310,i1311,i1312,i1313,i1314,i1315,i1316,i1317,i1318,i1319,i3125,i1321,i1322,i1323,i1324,i1325,i1326,i1327,i1328,i1329,i1330,i1331,i1332,i1333,i1334,i1335,i1336,i1337,i1338,i1339,i1340,i1341,i1342,i1343,i1344,i1345,i1346,i1347,i1348,i1349,i1350,i1351,i1352,i1353,i1354,i1355,i1356,i1357,i1358,i1359,i1360,i1361,i1363,i1364,i1365,i1367,i1368,i1369,i1370,i3119,i3120,i3121,i3122,i3123,i3124,i3126,i3127,i3128,i3129,i3130,i3131,i3132,i3133,i3134,i3135,i3136,i3137,i3138,i3139,i3140,i3141,i3142,i3143,i3144,i3145,i3146,i3147,i3148,i3149,i3150,i3151,i3152,i3153
Vial,b1,b1,b1 (b13),b2,b2,b2,b2,b2 (b14),b2,b3,b3,b4,B4,b4,b4,b5,b5,b5,b5 (b15),b6,b6,b6,b6,b6,b6,b7,b7,b7 (b17),b7 (b16),b8,b8,b8,b8,b8 (b18),b9,b9,b10,b10,b10,b10,b10,b11,b11,b11,b12,b12,b13,b13,b13,b14,b14,b15,b16,b16,b17,b18,b3 (b19),b20,b20,b1,b1,b1,b1,b2,b2,b3,b3,b3,b3,b3,b3,b3,b4,b4,b4,b5,b5,b5,b5,b5,b5,b5,b5,b6,b6,b6,b7,b7,b7,b7,b8,b9,b9
Age,1,2,3,4,5,6,7,8,9,10,,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,,0,0,,0,0,0,,,,0,0,0,0
5,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,0,,,,0,0,,0
7,0,0,0,3,,3,2,0,,0,0,2,,0,0,,0,0,0,,3,,,0,,2,0,0,0,2,0,1,,0,3,0,0,,,0,0,,0,0,1,,0,3,,,0,0,,0,,0,0,,0,0,,,0,0,0,0,,,0,0,,,,0,0,,,,0,,,0,,0,,0,,,,0,1,,0
9,0,0,2,7,,6,2,0,,1,2,4,,0,3,,0,1,4,,5,,,0,,2,3,0,3,2,3,1,,2,8,0,0,,,3,0,,0,3,5,,,7,,,0,0,,2,,0,0,,5,0,,,1,3,0,0,,,0,,,,,0,0,,,,0,,,0,,2,,0,,,,2,1,,1
11,0,3,5,7,,6,3,0,,1,5,4,,0,3,,0,1,4,,,,,0,,3,6,0,3,,,1,,2,8,0,,,,3,0,,0,3,10,,,7,,,2,2,,2,,4,0,,5,,,,1,3,3,0,,,0,,,,,0,0,,,,3,,,0,,5,,2,,,,2,3,,3
13,2,6,8,7,,6,3,2,,,5,6,,4,3,,0,3,7,,,,,1,,,6,4,3,,,2,,2,8,2,,,,6,0,,0,3,13,,,9,,,6,2,,2,,4,0,,8,,,,2,3,3,,,,2,,,,,0,2,,,,3,,,,,5,,2,,,,,3,,3
15,2,6,8,,,6,7,4,,,9,9,,4,5,,0,5,10,,,,,5,,,7,4,5,,,3,,4,10,2,,,,8,2,,1,5,13,,,14,,,6,2,,5,,7,0,,8,,,,5,4,3,,,,3,,,,,2,2,,,,6,,,,,7,,2,,,,,3,,3
17,2,6,10,,,6,7,4,,,11,11,,5,5,,0,5,10,,,,,5,,,9,5,8,,,3,,8,10,3,,,,8,5,,2,5,13,,,14,,,7,3,,,,7,0,,,,,,5,4,5,,,,3,,,,,3,,,,,10,,,,,7,,2,,,,,5,,4
19,3,6,13,,,6,8,5,,,,,,7,8,,0,6,12,,,,,6,,,9,5,8,,,5,,8,13,4,,,,8,,,4,7,16,,,14,,,7,3,,,,7,0,,,,,,,6,5,,,,5,,,,,4,,,,,13,,,,,9,,3,,,,,5,,4
21,,7,13,,,6,,5,,,,,,7,,,0,6,17,,,,,9,,,10,5,10,,,7,,10,13,4,,,,8,,,4,9,16,,,14,,,8,6,,,,11,0,,,,,,,6,5,,,,5,,,,,7,,,,,13,,,,,11,,3,,,,,5,,5
23,,9,13,,,6,,7,,,,,,9,,,0,7,17,,,,,9,,,10,8,13,,,7,,12,13,6,,,,8,,,7,9,19,,,,,,8,6,,,,15,0,,,,,,,6,5,,,,7,,,,,7,,,,,13,,,,,11,,7,,,,,9,,5
25,,13,13,,,,,9,,,,,,11,,,0,7,17,,,,,9,,,10,8,13,,,,,,16,6,,,,,,,9,11,19,,,,,,8,,,,,,1,,,,,,,9,8,,,,8,,,,,7,,,,,14,,,,,16,,7,,,,,9,,7
27,,13,13,,,,,9,,,,,,11,,,0,,17,,,,,10,,,10,11,16,,,,,,16,8,,,,,,,9,12,21,,,,,,10,,,,,,1,,,,,,,9,8,,,,8,,,,,7,,,,,14,,,,,,,7,,,,,9,,9
29,,14,15,,,,,,,,,,,14,,,0,,18,,,,,10,,,10,11,20,,,,,,17,8,,,,,,,9,12,23,,,,,,14,,,,,,1,,,,,,,10,8,,,,8,,,,,9,,,,,14,,,,,,,10,,,,,13,,11
31,,14,15,,,,,,,,,,,14,,,,,22,,,,,10,,,11,11,20,,,,,,,8,,,,,,,10,14,23,,,,,,14,,,,,,2,,,,,,,10,8,,,,8,,,,,9,,,,,16,,,,,,,13,,,,,13,,12
